model,dataset,source_id,dataset_family,dataset_versions_for_source_within_model
bag8,gas_sensor_drift,source::gas_sensor_drift,real_shift,1
bag8,hazelnut-spread-contaminant-detection,source::hazelnut-spread-contaminant-detection,TabArena_IID,1
bag8,healthcare_insurance_expenses,source::healthcare_insurance_expenses,TabArena_IID,1
bag8,heloc,source::heloc,TabArena_IID,1
bag8,hiva_agnostic,source::hiva_agnostic,TabArena_IID,1
bag8,houses,source::houses,TabArena_IID,1
bag8,in_vehicle_coupon_recommendation,source::in_vehicle_coupon_recommendation,TabArena_IID,1
bag8,jm1,source::jm1,TabArena_IID,1
bag8,kddcup09_appetency,source::kddcup09_appetency,TabArena_IID,1
bag8,lending_club,source::lending_club,real_shift,1
bag8,maternal_health_risk,source::maternal_health_risk,TabArena_IID,1
bag8,miami_housing,source::miami_housing,TabArena_IID,1
bag8,online_shoppers_intention,source::online_shoppers_intention,TabArena_IID,1
bag8,physiochemical_protein,source::physiochemical_protein,TabArena_IID,1
bag8,polish_companies_bankruptcy,source::polish_companies_bankruptcy,TabArena_IID,1
bag8,qsar-biodeg,source::qsar-biodeg,TabArena_IID,1
bag8,seismic-bumps,source::seismic-bumps,TabArena_IID,1
bag8,shifts_weather,source::shifts_weather,real_shift,1
bag8,splice,source::splice,TabArena_IID,1
bag8,students_dropout_and_academic_success,source::students_dropout_and_academic_success,TabArena_IID,1
bag8,superconductivity,source::superconductivity,TabArena_IID,1
bag8,synthetic_label_shift,source::synthetic_generator,synthetic,9
bag8,synthetic_large_test,source::synthetic_generator,synthetic,9
bag8,synthetic_partial_shift,source::synthetic_generator,synthetic,9
bag8,synthetic_shift_0.0,source::synthetic_generator,synthetic,9
bag8,synthetic_shift_0.5,source::synthetic_generator,synthetic,9
bag8,synthetic_shift_1.0,source::synthetic_generator,synthetic,9
bag8,synthetic_shift_3.0,source::synthetic_generator,synthetic,9
bag8,synthetic_shift_5.0,source::synthetic_generator,synthetic,9
bag8,synthetic_small_test,source::synthetic_generator,synthetic,9
bag8,tabred_cooking_time,source::tabred_cooking_time,TabReD,1
bag8,tabred_delivery_eta,source::tabred_delivery_eta,TabReD,4
bag8,tabred_delivery_eta__gap_far,source::tabred_delivery_eta,TabReD_gap,4
bag8,tabred_delivery_eta__gap_maxdiff,source::tabred_delivery_eta,TabReD_gap,4
bag8,tabred_delivery_eta__gap_near,source::tabred_delivery_eta,TabReD_gap,4
bag8,tabred_ecom_offers,source::tabred_ecom_offers,TabReD,1
bag8,tabred_homesite,source::tabred_homesite,TabReD,3
bag8,tabred_homesite__gap_far,source::tabred_homesite,TabReD_gap,3
bag8,tabred_homesite__gap_near,source::tabred_homesite,TabReD_gap,3
bag8,tabred_sberbank,source::tabred_sberbank,TabReD,3
bag8,tabred_sberbank__gap_far,source::tabred_sberbank,TabReD_gap,3
bag8,tabred_sberbank__gap_near,source::tabred_sberbank,TabReD_gap,3
bag8,tabred_weather,source::tabred_weather,TabReD,4
bag8,tabred_weather__gap_far,source::tabred_weather,TabReD_gap,4
bag8,tabred_weather__gap_maxdiff,source::tabred_weather,TabReD_gap,4
bag8,tabred_weather__gap_near,source::tabred_weather,TabReD_gap,4
bag8,taiwanese_bankruptcy_prediction,source::taiwanese_bankruptcy_prediction,TabArena_IID,1
bag8,tschalzev_mbgm,source::tschalzev_mbgm,tschalzev_IID,1
bag8,tschalzev_ogpcc,source::tschalzev_ogpcc,tschalzev_IID,1
bag8,tschalzev_sctp,source::tschalzev_sctp,tschalzev_IID,1
bag8,website_phishing,source::website_phishing,TabArena_IID,1
bag8,wine_quality,source::wine_quality,TabArena_IID,1
tabicl,Amazon_employee_access,source::Amazon_employee_access,TabArena_IID,1
tabicl,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,TabArena_IID,1
tabicl,Bank_Customer_Churn,source::Bank_Customer_Churn,TabArena_IID,1
tabicl,E-CommereShippingData,source::E-CommereShippingData,TabArena_IID,1
tabicl,Fitness_Club,source::Fitness_Club,TabArena_IID,1
tabicl,HR_Analytics_Job_Change_of_Data_Scientists,source::HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,1
tabicl,Is-this-a-good-customer,source::Is-this-a-good-customer,TabArena_IID,1
tabicl,MIC,source::MIC,TabArena_IID,1
tabicl,Marketing_Campaign,source::Marketing_Campaign,TabArena_IID,1
tabicl,NATICUSdroid,source::NATICUSdroid,TabArena_IID,1
tabicl,QSAR_fish_toxicity,source::QSAR_fish_toxicity,TabArena_IID,1
tabicl,airfoil_self_noise,source::airfoil_self_noise,TabArena_IID,1
tabicl,anneal,source::anneal,TabArena_IID,1
tabicl,bike_sharing,source::bike_sharing,real_shift,1
tabicl,blood-transfusion-service-center,source::blood-transfusion-service-center,TabArena_IID,1
tabicl,churn,source::churn,TabArena_IID,1
tabicl,coil2000_insurance_policies,source::coil2000_insurance_policies,TabArena_IID,1
tabicl,concrete_compressive_strength,source::concrete_compressive_strength,TabArena_IID,1
tabicl,credit-g,source::credit-g,TabArena_IID,1
tabicl,credit_card_clients_default,source::credit_card_clients_default,TabArena_IID,1
tabicl,diabetes,source::diabetes,TabArena_IID,1
tabicl,gas_sensor_drift,source::gas_sensor_drift,real_shift,1
tabicl,hazelnut-spread-contaminant-detection,source::hazelnut-spread-contaminant-detection,TabArena_IID,1
tabicl,healthcare_insurance_expenses,source::healthcare_insurance_expenses,TabArena_IID,1
tabicl,heloc,source::heloc,TabArena_IID,1
tabicl,houses,source::houses,TabArena_IID,1
tabicl,in_vehicle_coupon_recommendation,source::in_vehicle_coupon_recommendation,TabArena_IID,1
tabicl,jm1,source::jm1,TabArena_IID,1
tabicl,maternal_health_risk,source::maternal_health_risk,TabArena_IID,1
tabicl,miami_housing,source::miami_housing,TabArena_IID,1
tabicl,online_shoppers_intention,source::online_shoppers_intention,TabArena_IID,1
tabicl,polish_companies_bankruptcy,source::polish_companies_bankruptcy,TabArena_IID,1
tabicl,qsar-biodeg,source::qsar-biodeg,TabArena_IID,1
tabicl,seismic-bumps,source::seismic-bumps,TabArena_IID,1
tabicl,splice,source::splice,TabArena_IID,1
tabicl,students_dropout_and_academic_success,source::students_dropout_and_academic_success,TabArena_IID,1
tabicl,superconductivity,source::superconductivity,TabArena_IID,1
tabicl,synthetic_large_test,source::synthetic_generator,synthetic,7
tabicl,synthetic_shift_0.0,source::synthetic_generator,synthetic,7
tabicl,synthetic_shift_0.5,source::synthetic_generator,synthetic,7
tabicl,synthetic_shift_1.0,source::synthetic_generator,synthetic,7
tabicl,synthetic_shift_3.0,source::synthetic_generator,synthetic,7
tabicl,synthetic_shift_5.0,source::synthetic_generator,synthetic,7
tabicl,synthetic_small_test,source::synthetic_generator,synthetic,7
tabicl,tabred_delivery_eta__gap_far,source::tabred_delivery_eta,TabReD_gap,3
tabicl,tabred_delivery_eta__gap_maxdiff,source::tabred_delivery_eta,TabReD_gap,3
tabicl,tabred_delivery_eta__gap_near,source::tabred_delivery_eta,TabReD_gap,3
tabicl,tabred_homesite__gap_far,source::tabred_homesite,TabReD_gap,2
tabicl,tabred_homesite__gap_near,source::tabred_homesite,TabReD_gap,2
tabicl,tabred_weather__gap_far,source::tabred_weather,TabReD_gap,3
tabicl,tabred_weather__gap_maxdiff,source::tabred_weather,TabReD_gap,3
tabicl,tabred_weather__gap_near,source::tabred_weather,TabReD_gap,3
tabicl,taiwanese_bankruptcy_prediction,source::taiwanese_bankruptcy_prediction,TabArena_IID,1
tabicl,website_phishing,source::website_phishing,TabArena_IID,1
tabicl,wine_quality,source::wine_quality,TabArena_IID,1
tabpfn,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,TabArena_IID,1
tabpfn,Bank_Customer_Churn,source::Bank_Customer_Churn,TabArena_IID,1
tabpfn,E-CommereShippingData,source::E-CommereShippingData,TabArena_IID,1
tabpfn,Fitness_Club,source::Fitness_Club,TabArena_IID,1
tabpfn,Is-this-a-good-customer,source::Is-this-a-good-customer,TabArena_IID,1
tabpfn,MIC,source::MIC,TabArena_IID,1
tabpfn,Marketing_Campaign,source::Marketing_Campaign,TabArena_IID,1
tabpfn,NATICUSdroid,source::NATICUSdroid,TabArena_IID,1
tabpfn,QSAR_fish_toxicity,source::QSAR_fish_toxicity,TabArena_IID,1
tabpfn,airfoil_self_noise,source::airfoil_self_noise,TabArena_IID,1
tabpfn,anneal,source::anneal,TabArena_IID,1
tabpfn,bike_sharing,source::bike_sharing,real_shift,1
tabpfn,blood-transfusion-service-center,source::blood-transfusion-service-center,TabArena_IID,1
tabpfn,churn,source::churn,TabArena_IID,1
tabpfn,coil2000_insurance_policies,source::coil2000_insurance_policies,TabArena_IID,1
tabpfn,concrete_compressive_strength,source::concrete_compressive_strength,TabArena_IID,1
tabpfn,credit-g,source::credit-g,TabArena_IID,1
tabpfn,diabetes,source::diabetes,TabArena_IID,1
tabpfn,gas_sensor_drift,source::gas_sensor_drift,real_shift,1
tabpfn,hazelnut-spread-contaminant-detection,source::hazelnut-spread-contaminant-detection,TabArena_IID,1
tabpfn,healthcare_insurance_expenses,source::healthcare_insurance_expenses,TabArena_IID,1
tabpfn,heloc,source::heloc,TabArena_IID,1
tabpfn,jm1,source::jm1,TabArena_IID,1
tabpfn,maternal_health_risk,source::maternal_health_risk,TabArena_IID,1
tabpfn,online_shoppers_intention,source::online_shoppers_intention,TabArena_IID,1
tabpfn,polish_companies_bankruptcy,source::polish_companies_bankruptcy,TabArena_IID,1
tabpfn,qsar-biodeg,source::qsar-biodeg,TabArena_IID,1
tabpfn,seismic-bumps,source::seismic-bumps,TabArena_IID,1
tabpfn,splice,source::splice,TabArena_IID,1
tabpfn,students_dropout_and_academic_success,source::students_dropout_and_academic_success,TabArena_IID,1
tabpfn,synthetic_large_test,source::synthetic_generator,synthetic,6
tabpfn,synthetic_shift_0.0,source::synthetic_generator,synthetic,6
tabpfn,synthetic_shift_0.5,source::synthetic_generator,synthetic,6
tabpfn,synthetic_shift_1.0,source::synthetic_generator,synthetic,6
tabpfn,synthetic_shift_3.0,source::synthetic_generator,synthetic,6
tabpfn,synthetic_shift_5.0,source::synthetic_generator,synthetic,6
tabpfn,tabred_delivery_eta__gap_far,source::tabred_delivery_eta,TabReD_gap,3
tabpfn,tabred_delivery_eta__gap_maxdiff,source::tabred_delivery_eta,TabReD_gap,3
tabpfn,tabred_delivery_eta__gap_near,source::tabred_delivery_eta,TabReD_gap,3
tabpfn,tabred_homesite__gap_far,source::tabred_homesite,TabReD_gap,2
tabpfn,tabred_homesite__gap_near,source::tabred_homesite,TabReD_gap,2
tabpfn,tabred_sberbank__gap_far,source::tabred_sberbank,TabReD_gap,2
tabpfn,tabred_sberbank__gap_near,source::tabred_sberbank,TabReD_gap,2
tabpfn,tabred_weather__gap_far,source::tabred_weather,TabReD_gap,3
tabpfn,tabred_weather__gap_maxdiff,source::tabred_weather,TabReD_gap,3
tabpfn,tabred_weather__gap_near,source::tabred_weather,TabReD_gap,3
tabpfn,taiwanese_bankruptcy_prediction,source::taiwanese_bankruptcy_prediction,TabArena_IID,1
tabpfn,tschalzev_mbgm,source::tschalzev_mbgm,tschalzev_IID,1
tabpfn,website_phishing,source::website_phishing,TabArena_IID,1
tabpfn,wine_quality,source::wine_quality,TabArena_IID,1
